n2000code:text	name:text	authority:text	eunisurl:url
A317	Regulus regulus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1256
A318	Regulus ignicapillus	(Temminck, 1820)	http://eunis.eea.europa.eu/species/1255
A319	Muscicapa striata	(Pallas, 1764)	http://eunis.eea.europa.eu/species/1154
A320	Ficedula parva	(Bechstein, 1794)	http://eunis.eea.europa.eu/species/1045
A321	Ficedula albicollis	(Temminck, 1815)	http://eunis.eea.europa.eu/species/1043
A322	Ficedula hypoleuca	(Pallas, 1764)	http://eunis.eea.europa.eu/species/1044
A323	Panurus biarmicus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1177
A324	Aegithalos caudatus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/849
A325	Parus palustris	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1184
A326	Parus montanus	Conrad von Baldenstein, 1827	http://eunis.eea.europa.eu/species/1183
A327	Parus cristatus	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1180
A328	Parus ater	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1178
A329	Parus caeruleus	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1179
A330	Parus major	Linnaeus 1758	http://eunis.eea.europa.eu/species/1182
A331	Sitta whiteheadi	Sharpe, 1884	http://eunis.eea.europa.eu/species/1272
A332	Sitta europaea	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1269
A333	Tichodroma muraria	(Linnaeus, 1766)	http://eunis.eea.europa.eu/species/1319
A334	Certhia familiaris	Linnaeus, 1758	http://eunis.eea.europa.eu/species/956
A335	Certhia brachydactyla	Brehm, 1820	http://eunis.eea.europa.eu/species/955
A336	Remiz pendulinus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1257
A337	Oriolus oriolus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1170
A338	Lanius collurio	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1098
A339	Lanius minor	Gmelin, 1788	http://eunis.eea.europa.eu/species/1100
A340	Lanius excubitor	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1099
A341	Lanius senator	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1102
A342	Garrulus glandarius	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1060
A343	Pica pica	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1215
A344	Nucifraga caryocatactes	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1157
A345	Pyrrhocorax graculus	(Linnaeus, 1766)	http://eunis.eea.europa.eu/species/1248
A346	Pyrrhocorax pyrrhocorax	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1249
A347	Corvus monedula	Linnaeus, 1758	http://eunis.eea.europa.eu/species/993
